9.72,37982099,9.75,9.74,9.751168724,-1
9.18,27511436,9.626,9.685,9.709445816,0
9.08,46482481,9.474,9.619,9.630963877,0
8.44,36757287,9.224,9.483,9.495309252,1
8.58,44875372,9,9.384,9.330206168,0
8.3,48469410,8.716,9.233,9.125470779,0
8.92,34701662,8.664,9.145,8.971647186,0
8.85,41070188,8.618,9.046,8.85376479,0
9.2,33570361,8.77,8.997,8.825843194,0
9.52,33222657,8.958,8.979,8.869895462,-1
9.24,59026743,9.146,8.931,8.961930308,0
8.75,27726628,9.112,8.888,9.011953539,0
8.96,29721554,9.134,8.876,9.052635693,0
8.23,29870317,8.94,8.855,9.015090462,0
8.27,37505361,8.69,8.824,8.906726974,0
7.87,39736534,8.416,8.781,8.743151316,0
8.32,24554963,8.33,8.721,8.605434211,0
7.75,30416396,8.088,8.611,8.432956141,1
8.39,37483054,8.12,8.53,8.328637427,0
8.45,24225622,8.156,8.423,8.271091618,0
8.84,28074167,8.35,8.383,8.297394412,-1
8.43,31201195,8.372,8.351,8.322262941,0
8.26,24161868,8.474,8.281,8.372841961,0
8.59,22540839,8.514,8.317,8.419894641,0
8.42,37657449,8.508,8.332,8.449263094,0
8.2,27240359,8.38,8.365,8.426175396,0
7.75,36013476,8.244,8.308,8.365450264,1
7.91,24760274,8.174,8.324,8.301633509,0
7.78,27991246,8.012,8.263,8.205089006,0
7.85,21057078,7.898,8.203,8.102726004,0
8.31,21795543,7.92,8.15,8.041817336,0
8.35,35702433,8.04,8.142,8.041211557,0
8.73,33580509,8.204,8.189,8.095474372,0
9.05,21711991,8.458,8.235,8.216316248,-1
8.92,16527151,8.672,8.285,8.368210832,0
9.03,25879664,8.816,8.368,8.517473888,0
8.81,23877542,8.908,8.474,8.647649259,0
8.63,23040880,8.888,8.546,8.727766172,0
8.51,31289698,8.78,8.619,8.745177448,0
8.22,22859302,8.64,8.656,8.710118299,0
8.14,21560464,8.462,8.639,8.627412199,0
7.93,43871479,8.286,8.597,8.513608133,0
7.58,26412777,8.076,8.482,8.367738755,0
7.35,27291521,7.844,8.312,8.19315917,0
7.45,26079505,7.69,8.165,8.025439447,0
7.4,25874774,7.542,8.002,7.864292965,0
7.04,23676822,7.364,7.825,7.697528643,1
7.52,21849440,7.352,7.714,7.582352429,0
7.34,20377695,7.35,7.597,7.504901619,0
7.38,36052919,7.336,7.513,7.448601079,0
7.6,39013880,7.376,7.459,7.42440072,0
7.82,49139681,7.532,7.448,7.460267146,0
7.46,51384055,7.52,7.436,7.480178098,0
7.28,72988575,7.508,7.429,7.489452065,0
7.41,27900951,7.514,7.425,7.49763471,0
7.21,30643457,7.436,7.406,7.477089807,0
7.61,28179170,7.394,7.463,7.449393204,0
7.49,25153142,7.4,7.46,7.432928803,0
7.57,28582316,7.458,7.483,7.441285869,0
7.82,32465537,7.54,7.527,7.474190579,0
8.14,34587643,7.726,7.581,7.558127053,-1
8.09,30818453,7.822,7.608,7.646084702,0
7.88,40214111,7.9,7.65,7.730723135,0
7.61,35906116,7.908,7.683,7.789815423,0
7.63,29113451,7.87,7.705,7.816543615,0
7.57,20269150,7.756,7.741,7.79636241,0
7.55,18850497,7.648,7.735,7.746908273,0
7.49,14588674,7.57,7.735,7.687938849,0
7.49,33055447,7.546,7.727,7.640625899,0
7.48,26505642,7.516,7.693,7.599083933,0
7.06,80795897,7.414,7.585,7.537389289,0
6.63,54955874,7.23,7.439,7.434926192,0
6.35,55112384,7.002,7.286,7.290617462,0
6.6,24334443,6.824,7.185,7.135078308,0
6.47,20080912,6.622,7.069,6.964052205,0
6.72,14696974,6.554,6.984,6.827368137,0
6.62,20111950,6.552,6.891,6.735578758,0
6.48,21658462,6.578,6.79,6.683052505,0
6.36,23001204,6.53,6.677,6.632035003,0
6.3,22094579,6.496,6.559,6.586690002,0
6,32887239,6.352,6.453,6.508460002,0
5.92,27783291,6.212,6.382,6.409640001,0
6.19,28964661,6.154,6.366,6.324426667,0
5.94,49326757,6.07,6.3,6.239617778,0
6.02,23624183,6.014,6.255,6.164411852,0
5.69,28579484,5.952,6.152,6.093607901,0
5.75,35001639,5.918,6.065,6.035071934,0
5.82,24415616,5.844,5.999,5.97138129,1
6.05,22285199,5.866,5.968,5.936254193,0
6.04,21679594,5.87,5.942,5.914169462,0
5.96,19381333,5.924,5.938,5.917446308,0
5.94,17213358,5.962,5.94,5.932297539,0
5.88,23117739,5.974,5.909,5.946198359,0
5.89,51746705,5.942,5.904,5.944798906,0
6.16,33687366,5.966,5.918,5.951865937,0
6.25,18351797,6.024,5.974,5.975910625,0
6.21,21556780,6.078,6.02,6.009940417,-1
6.21,20223610,6.144,6.059,6.054626944,0
6.16,22914125,6.198,6.07,6.102417963,0
